CEN_1881,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
10001,LONDON,KENSINGTON,ST MARY PADDINGTON,160.57,professional,69769,434.4958761,2.88075,88.716697,160.537119,158.614936,114.042409,48.644727,5.602124,6.35952,4.35466154,398.492846,344.175435,259.285577,178.786384,80.801691,7.883221,220.9560803,8.259913312,5.411942555,26.90283284,26.96474727,21.97954106,9.301397206,158.47,134.39,17.34294601,7.018028597,4.275747738,24.3,18.71934793,1.229536506,27.18781828,28.30267933,25.66611256,45.56787571,39.32427071,6.243605003,1.77,66.83156245,7.78809016,31.27918372,24.1943852,24.00415057,12.49207356,21.6,19.06,29.17,9.95,19.35,0.36,0.06,0.16,13.39,70.83,47.6,40.97992209,0.014983518,27.39911308,2.325581395,3.444493199,35.42848383,30.73739077
10002,LONDON,KENSINGTON,ST JOHN PADDINGTON,46.7,professional,37370,800.2997622,1.50625,35.175727,79.248232,86.414302,62.423427,30.268981,3.492027,7.11844,4.464713725,549.792555,376.106998,255.598618,181.98552,71.299506,7.952103,168.0279406,2.821529582,5.358037056,31.14474413,29.47998158,37.03857321,11.38273491,155.68,131,29.97056462,6.356929838,3.719981165,48.61,18.31737561,1.381258829,29.5749016,30.10029118,28.62639014,30.90214496,24.74064209,6.161502874,2.04,48.36713469,11.77902166,25.38330494,13.6286201,24.50717936,24.34899002,23.17,16.08,31.31,10.2,18.36,0.21,0.01,0.17,16.61,78.81,56.19,56.06984711,0.050129501,27.95930233,2.47410817,3.394706559,42.54703329,23.47322721
10003,LONDON,KENSINGTON,KENSINGTON TOWN,82.05,professional,119180,1452.460429,2.86705,83.300403,152.982707,159.209842,116.625972,53.469563,8.021457,6.91247,4.7788645,433.51653,375.70827,286.93921,195.64852,83.73092,13.74598,221.681744,7.527659188,5.414130234,27.86598292,26.62511858,21.56108975,9.050334738,159.19,135.26,15.69055211,7.951877934,5.482897384,26.74,13.03655265,1.316230718,26.53745611,27.45968925,25.2428433,48.984419,43.11870346,5.865715537,2.85,63.38077128,7.258820983,25.47442095,25.60069269,23.77877192,17.59506458,17.63,16.94,31.89,10.16,22.31,0.42,0.06,0.19,21.55,72.39,55.64,41.65521034,0.078557681,35.44157815,1.63895767,2.82985497,32.87378813,29.04029174
10004,LONDON,KENSINGTON,BROMPTON,65.64,professional,42761,651.4721212,1.85227,42.537036,94.304344,107.697743,85.213708,34.179964,5.625993,6.88208,4.6586286,458.19233,385.31095,275.10312,184.14859,75.63401,11.52905,178.1940206,1.365223681,2.274509804,30.52897144,28.92670315,31.14682884,10.85003455,163.51,140.47,26.42594888,6.955736224,5.161956381,47.99,14.86643438,1.574396696,28.14645009,28.69933993,27.16743551,32.01002537,27.03756421,4.972461167,2.97,49.24490833,13.59810058,27.69263976,15.04424779,22.73904597,20.52665659,27.04,16.12,27.32,11.75,16.05,0.28,0.04,0.05,16.37,76.18,49.55,52.86544198,0.007850526,23.13306452,2.079107505,3.498985801,42.38584748,22.37628496
20001,LONDON,FULHAM,ST PETER HAMMERSMITH,4.54,professional,7548,1662.130209,3.95788,150.77473,230.54419,207.72297,137.28482,65.57473,13.07492,6.9638,4.81553015,508.38104,389.18508,271.35499,189.12695,90.50718,22.93183,217.2711366,5.304027301,2.761627907,25.37967936,25.95850019,17.40412979,8.928571429,160.77,137.17,9.273979862,6.334563346,5.289052891,24.17,14.20664207,1.72201722,26.19457735,27.11251189,25.03222892,59.33926302,51.16476069,8.17450233,1.02,75.40861813,6.745182013,24.62526767,25.37473233,21.35974304,21.41327623,16.72,16.23,29.15,13.19,23.72,0.27,0.05,0.16,13.4,67.38,47.55,44.18604651,0.178890877,31.9,1.261261261,2.342342342,32.12795549,34.21418637
20002,LONDON,FULHAM,ST PAUL HAMMERSMITH,116.01,semi-professional,64214,553.5389767,4.11075,143.28058,223.969547,223.993567,149.85794,73.268713,9.626197,6.95477,4.71583325,444.43259,356.57588,274.93419,199.36289,98.23811,14.05558,247.6017357,7.085619716,2.913453299,24.91330806,26.27699013,15.15376065,7.688766114,145.81,118.9,9.966673934,8.143499148,2.890128622,20.95,15.51216488,1.797613513,24.88876077,25.77065089,23.84216982,58.29366352,52.88459167,5.40907185,1.92,80.34340109,6.551237183,27.27328544,27.3531037,21.29305581,17.35740161,19.45,16.27,29.47,11.01,22.47,0.44,0.3,0.34,16.71,64.79,44.37,37.30054645,0.021857923,37.35092348,2.101748183,3.241013553,32.87915653,30.98134631
20003,LONDON,FULHAM,FULHAM,24.48,semi-professional,42400,1731.969271,4.54497,175.98058,251.4532,233.95123,161.61505,75.70982,12.61848,6.91933,4.79229595,425.25819,346.79085,288.50537,206.85613,97.96793,18.33891,268.7296584,20.6146985,5.485453908,23.52447185,25.49858346,12.69656377,7.463718037,162.15,138.83,8.254716981,6.813135445,3.704569358,13.29,16.44267851,1.834755171,24.46192363,25.23657817,23.61286311,62.81199289,57.30623599,5.505756897,3.22,87.38777874,4.325539568,20.26978417,31.48381295,22.76079137,20.86330935,12.71,13.55,30.93,14.91,25.86,0.62,0.1,0.98,18.46,68.58,57.21,32.83905967,0.253164557,48.64615385,2.112029385,3.489439853,29.91573034,35.8988764
30001,LONDON,CHELSEA,CHELSEA SOUTH,101.87,semi-professional,30367,298.0990211,3.82449,151.790486,218.732488,194.648701,133.628198,59.591089,6.618827,6.28318,4.310402705,383.099083,341.459792,253.890044,176.731604,81.644918,8.354183,245.7403975,8.156591602,2.776082977,24.06274103,27.07432541,13.24067301,12.31015188,162.33,139.05,8.232620937,8.629936616,5.6232732,10.95,15.04956932,1.641475703,26.40872401,26.9372767,25.88450686,55.11549469,48.73773508,6.377759608,3.08,98.19710321,5.094361468,27.54428621,26.18964918,22.99409517,17.92288989,12.48,13.94,31.83,18.04,22.43,0.46,0.13,0.37,18.85,70.55,57.73,30.56603774,0.047169811,25.11023622,1.35187331,4.210119737,28.97749704,37.86024477
30002,LONDON,CHELSEA,CHELSEA NORTH-WEST,117.88,semi-professional,24839,210.7201375,3.59005,141.919425,207.278708,173.602165,136.009612,51.506097,7.427652,6.44607,4.24442855,434.34813,339.93759,239.8375,183.475,75.34057,10.29505,222.9973218,31.28785984,12.65590609,25.28729824,26.52428659,15.6954157,8.835758836,175.78,155.08,9.25963203,7.576043831,3.7596826,14.25,19.44077083,1.66257321,27.54613708,28.47369588,26.42927046,54.08632915,45.86391342,8.222415723,2.66,79.82328599,4.986020503,24.35538987,31.64026095,24.71264368,14.07269338,13.89,17.06,37.92,11.72,18.72,0.24,0,0.21,18.2,70.25,52.77,32.81804359,0.025342119,41.88793103,1.768397034,3.76497433,32.01712655,34.15794481
30003,LONDON,CHELSEA,CHELSEA NORTH-EAST,136.61,professional,32538,238.1877561,4.03688,154.013368,234.336852,215.183403,143.817688,58.93143,6.494904,6.67867,4.56244422,425.968282,352.804383,284.239287,184.376684,81.664437,9.404053,244.874466,5.751575344,2.00369101,24.39146783,25.69317072,16.15658363,7.649769585,155.94,131.32,8.912655971,7.417774668,5.402379286,10.06,16.10916725,1.315605318,24.73192706,25.6076425,23.73684556,57.53245495,53.02751405,4.504940903,2.4,84.81647269,3.904530182,19.71961534,30.2514193,26.67130112,19.12872205,10.73,14.15,38.31,12.2,23.48,0.34,0.08,0.34,16.81,72.96,60.77,36.08333333,0,57.9,1.406120761,2.522746071,27.17391304,36.29658385
