NLP,Wikidata ID,location
0000031,Q36405,"Aberdeen, Grampian, Scotland"
0000032,Q36405,"Aberdeen, Grampian, Scotland"
0000033,Q2256,"Birmingham, West Midlands, England"
0000034,Q23154,"Bristol, Avon, England"
0000035,Q23154,"Bristol, Avon, England"
0000038,Q10686,"Belfast, Ireland"
0000051,Q84,"London, England"
0000053,Q84,"London, England"
0000058,Q428829,"Caernarvon, Gwynedd, Wales"
0000059,Q428829,"Caernarvon, Gwynedd, Wales"
0000060,Q4093,"Glasgow, Strathclyde, Scotland"
0000069,Q72259,"Portsmouth, Hampshire, England"
0000070,Q72259,"Portsmouth, Hampshire, England"
0000071,Q184775,"Ipswich, Suffolk, England"
0000072,Q84,"London, England"
0000075,Q34217,"Oxford, Oxfordshire, England"
0000076,Q39121,"Leeds, West Yorkshire, England"
0000079,Q84,"London, England"
0000081,Q24826,"Liverpool, Merseyside, England"
0000083,Q18125,"Manchester, Greater Manchester, England"
0000098,Q84,"London, England"
0000099,Q184090,"Preston, Lancashire, England"
0000150,Q1646181,"Worcester, Hereford & Worcester, England/Worcester, Worcestershire, England"
0000151,Q188313,"Blackburn, Lancashire, England"
0000152,Q188313,"Blackburn, Lancashire, England"
0000153,Q188313,"Blackburn, Lancashire, England"
0000154,Q188313,"Blackburn, Lancashire, England"
0000155,Q22905,"Bradford, West Yorkshire, England"
0000160,Q123709,"Dundee, Tayside, Scotland/Dundee, Angus, Scotland"
0000161,Q123709,"Dundee, Tayside, Scotland"
0000162,Q123709,"Dundee, Angus, Scotland/Dundee, Tayside, Scotland"
0000164,Q123709,"Dundee, Tayside, Scotland"
0000165,Q184163,"Colchester, Essex, England"
0000166,Q184163,"Colchester, Essex, England"
0000170,Q776556,"Ryde, Isle of Wight, England"
0000171,Q320514,"Lancaster, Lancashire, England"
0000174,Q84,"London, England"
0000177,Q180803,"Truro, Cornwall, England"
0000178,Q180803,"Truro, Cornwall, England"
0000180,Q180803,"Truro, Cornwall, England"
0000181,Q42448,"Sheffield, Yorkshire, England/Sheffield, South Yorkshire, England"
0000182,Q79848,"Southampton, Hampshire, England"
0000183,Q84,"London, England"
0000185,Q496368,"Wrexham, Clwyd, Wales/Wrexham, Denbighshire, Wales"
0000197,Q24826,"Liverpool, Merseyside, England"
0000200,Q18125,"Manchester, Greater Manchester, England"
0000201,Q18125,"Manchester, Greater Manchester, England"
0000203,Q546635,"Leamington, Warwickshire, England"
0000205,Q83065,"Leicester, Leicestershire, England"
0000206,Q18125,"Manchester, Greater Manchester, England/Manchester., Greater Manchester, England"
0000209,Q84,"London, England"
0000212,Q646980,"Aldershot, Hampshire, England"
0000213,Q84,"London, England"
0000215,Q826782,"Stafford, Staffordshire, England"
0000216,Q246884,"Lewes, Sussex, England"
0000217,Q646980,"Aldershot, Hampshire, England"
0000218,Q1002826,"Alnwick, Northumberland, England"
0000228,Q823600,"Chesterfield, Derbyshire, England"
0000230,Q172157,"Winchester., Hampshire, England/Winchester, Hampshire, England"
0000231,Q172157,"Winchester, Hampshire, England"
0000235,Q29303,"Canterbury, Kent, England"
