Newspaper Title,System ID,NLP,JISC,Normalised Title,Abbr,StartD,StartM,StartY,EndD,EndM,EndY
"Aberdeen Journal and general advertiser for the north of Scotland, The",13921360,31,JISC1,Aberdeen Journal,ANJO,1,Jan,1800,23,Aug,1876
Aberdeen Weekly Journal and general advertiser for the north of Scotland,13921362,32,JISC1,Aberdeen Journal,ANJO,30,Aug,1876,31,Dec,1900
Baner Cymru,13906328,36,JISC1,Baner,BNER,4,Mar,1857,28,Sep,1859
Baner ac Amserau Cymru,13906329,37,JISC1,Baner,BNER,5,Oct,1859,29,Dec,1900
The Bath Chronicle and Weekly Gazette,13918643,220,JISC2,Bath Chronicle and Weekly Gazette,BHCH,25,Dec.,1760,19,Nov.,1761
Pope's Bath Chronicle and Weekly Gazette,13918644,211,JISC2,Bath Chronicle and Weekly Gazette,BHCH,20,Nov,1761,9,Feb,1764
Pope's Bath Chronicle,7866889,555,JISC2,Bath Chronicle and Weekly Gazette,BHCH,16,Feb,1764,31,Dec,1767
Archer's Bath Chronicle,13918645,195,JISC2,Bath Chronicle and Weekly Gazette,BHCH,18,Aug,1768,12,Sep,1768
"Bath and Bristol Chronicle, The",13918646,219,JISC2,Bath Chronicle and Weekly Gazette,BHCH,29,Sep,1768,18,Jan,1770
R. Cruttwell's Bath and Bristol Chronicle,13918647,219,JISC2,Bath Chronicle and Weekly Gazette,BHCH,25,Jan,1770,6,Sep,1770
"Bath Chronicle, The",13918648,187,JISC2,Bath Chronicle and Weekly Gazette,BHCH,13,Sep,1770,27,Dec,1900
Belfast News-Letter,13943744,38,JISC1,Belfast News-Letter,BNWL,1,Jan,1828,31,Dec,1900
Birmingham Daily Post,13943727,33,JISC1,Birmingham Daily Post,BDPO,4,Dec,1857,29,Sep,1900
"Blackburn Standard, The",13896863,151,JISC2,Blackburn Standard,BLSD,21,Jan,1835,30,Dec,1876
"Blackburn Standard: Darwen Observer, and North-East Lancashire Advertiser, The",13896864,152,JISC2,Blackburn Standard,BLSD,6,Jan,1877,29,Sep,1888
"Blackburn Standard and Weekly Express, The",13896865,153,JISC2,Blackburn Standard,BLSD,6,Oct,1888,2,Sep,1893
"Weekly Standard and Express, The",13896866,154,JISC2,Blackburn Standard,BLSD,9,Sep,1893,29,Dec,1900
"Bradford Observer, The",13897113,155,JISC2,Bradford Observer,BROR,6,Feb ,1834,31,Dec,1835
Brighton Patriot,13897269,39,JISC1,Brighton Patriot,BRPT,24,Feb,1835,28,Jun,1836
Brighton Patriot and South of England Free Press,13897270,40,JISC1,Brighton Patriot,BRPT,5,Jul,1836,13,Aug,1839
Bristol Mercury,13897352,34,JISC1,Bristol Mercury,BLMY,4,Jan,1819,26,Jan,1878
"Bristol Mercury and Daily Post, the",13897353,35,JISC1,Bristol Mercury,BLMY,28,Jan,1878,31,Dec,1900
Bury and Norwich Post,13893336,156,JISC2,Bury and Norwich Port,BNPT,7,Jan,1801,25,Dec,1900
Caledonian Mercury,13909857,45,JISC1,Caledonian Mercury,CNMR,1,Jan,1800,27,Aug,1859
"Caledonian Mercury and Daily Express, The",13909858,46,JISC1,Caledonian Mercury,CNMR,29,Aug,1859,21,Feb,1860
"Caledonian Mercury, The",13909859,47,JISC1,Caledonian Mercury,CNMR,22,Feb,1860,20,Apr,1867
Caledonian Mercury,13909857,45,JISC2,Caledonian Mercury,CNMR,28,Apr,1720,28,Dec,1799
Champion,13928341,41,JISC1,Champion,CHPN,18,Sep,1836,14,Nov,1836
"Champion and Weekly Herald, The",13928342,42,JISC1,Champion,CHPN,20,Nov,1836,26,Apr,1840
"Charter, The",13928644,43,JISC1,Charter,CHTR,27,Jan,1839,15,Mar,1840
Chartist,13928645,44,JISC1,Chartist,CHTT,2,Feb,1839,7,Jul,1839
Chartist Circular,13909641,48,JISC1,Chartist Circular,CTCR,28,Sep,1839,18,Sep,1841
Cheshire Observer and General Advertiser: for Cheshire and North Wales,13890479,158,JISC2,Cheshire Observer,CHOR,15,May,1854,27,Jun,1863
"Cheshire Observer and Chester, Birkenhead and North Wales Times",13890480,485,JISC2,Cheshire Observer,CHOR,4,Jul,1863,28,Jan,1871
Cheshire Observer,13943810,157,JISC2,Cheshire Observer,CHOR,4,Feb,1871,29,Dec,1900
Cobbett's Annual Register,13911140,49,JISC1,Cobbet's Weekly Political Register,CWPR,1,Jan,1802,3,Mar,1804
Cobbett's Weekly Political Register,13911141,50,JISC1,Cobbet's Weekly Political Register,CWPR,17,Mar,1804,17,Sep,1836
"North-Eastern Daily Gazette (Middlesbrough), The",13890696,159,JISC2,Daily Gazette for Middlesborough,DGMH,11,Jun,1881,28,Dec,1900
"The Evening Gazette for Middlesbrough, Stockton and District",13890694,486,JISC2,Daily Gazette for Middlesbrough,DGMH,18,Jun,1870,6,Dec,1872
"The Daily Gazette for Middlesbrough, Stockton and District",13890695,487,JISC2,Daily Gazette for Middlesbrough,DGMH,7,Dec,1872,10,Jun,1881
