CEN_1851,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
10001,LONDON,KENSINGTON,ST MARY PADDINGTON,21.55692256,professional,17252,800.2997622,3.03783,91.745706,146.200115,171.04177,138.212112,53.041715,8.422442,6.58898,4.542549,437.58298,333.81063,282.82893,199.244,79.31654,13.3097,237.9279602,5.342555731,3.102493075,26.5256146,25.96768271,16.24365482,8.536585366,167.16,149.65,20.36896933,7.649635036,6.919708029,27.45,11.8540146,1.226277372,26.07546839,26.41216629,25.47666156,45.94939944,41.5282392,4.421160235,2.01,67.22797927,7.301587302,22.71062271,27.44810745,18.60805861,23.1013431,16.19,14.7,34.68,10.69,22.05,0.27,0.02,0.5,23.24,59.24,48.5,46.72928547,0.10063737,41.15789474,4.587155963,6.697247706,27.83711615,26.23497997
10002,LONDON,KENSINGTON,ST JOHN PADDINGTON,66.86599711,professional,29053,434.4958761,2.01757,51.417149,94.591239,122.477102,83.553935,37.814844,7.117978,6.08871,4.1866074,359.66946,313.92181,275.31501,162.76075,74.79465,10.52926,209.2141953,2.450257371,2.286401925,28.70136179,26.89331243,24.93333333,10.44776119,119.99,126.13,19.61931642,7.555847569,9.379106439,34.3,5.831143233,1.018396846,27.39180763,28.02392069,26.26369472,36.6362267,32.65863303,3.977593674,1.99,58.09466385,9.025270758,20.75812274,22.00661853,20.15643803,27.40673887,17.32,13.9,40.6,7.34,19.06,0.27,0.09,0.66,20.95,64.45,48.26,56.68217054,0.031007752,36.30578512,4.655870445,7.962213225,26.64952871,27.54927164
10003,LONDON,KENSINGTON,KENSINGTON TOWN,20.09211364,professional,29183,1452.460429,2.78476,74.76762,135.0896,155.68916,121.09395,60.97369,10.91576,6.83358,4.9384538,398.41319,389.20002,275.45587,212.50601,91.14207,19.38679,216.6750377,6.512849203,4.972804973,27.43329403,26.39789861,22.24489796,7.455731594,162.74,147.79,11.65501166,8.131288141,7.949859805,33.76,6.646874485,1.006102589,26.43537928,27.20712355,25.12436462,47.52745862,42.19770208,5.329756542,4.54,61.08586067,7.500768521,21.08822625,29.34214571,19.15155241,22.56378727,14.26,15.67,30.74,12.59,23.87,0.59,0.25,1.56,23.74,62.53,54.99,45.83618917,0.051405072,28.1959799,3.114518448,5.17489219,27.24982001,25.80993521
10004,LONDON,KENSINGTON,BROMPTON,22.82522846,professional,14870,651.4721212,2.50202,66.748714,108.808208,149.931837,112.794928,53.063887,3.845362,6.19137,4.27354195,348.353638,306.823423,273.578621,190.377382,78.076545,5.852419,200.9609961,5.266828688,4.475183076,25.99711626,26.91794762,22.5477707,10.13289037,145.19,132.81,12.78084219,7.061503417,12.32915718,35.34,3.730068337,0.939635535,27.70717266,28.35007488,26.5979021,40.77863029,35.29411765,5.484512646,2.81,63.20325968,10.12474616,26.51581085,27.00899333,18.94400928,16.85523644,20.51,18.6,30.61,12.04,15.33,0.77,0.29,1.32,19.6,66.9,45.02,53.506244,0.128081972,37.10447761,5.636978579,8.004509583,33.76159886,25.48179872
10005,LONDON,KENSINGTON,ST PETER HAMMERSMITH,2.687515079,professional,4467,1662.130209,3.29657,73.915289,187.866225,194.169011,141.87194,49.384859,4.383354,6.97465,5.1564334,385.52711,424.205672,310.231787,211.564909,79.994241,5.290071,227.6817801,5.867547025,4.134366925,25.84956014,26.32818682,25,8.720930233,155.29,143.17,11.19319454,8.324768756,5.344295992,32.17,9.14696814,1.438848921,27.31086226,28.22792133,25.85278081,53.06822077,45.2519712,7.816249571,1.5,61.59014558,7.241746539,20.12779553,31.5228967,19.0628328,21.08626198,12.5,17.39,35.43,12.72,18.7,0.98,0,1.09,16.81,55.73,41.3,51.92307692,0,23.71052632,4.545454545,6.818181818,31.15124153,25.50790068
10006,LONDON,KENSINGTON,ST PAUL HAMMERSMITH,24.01456909,professional,13293,553.5389767,3.61186,118.012209,186.404968,203.388507,152.55965,67.371195,8.076728,6.83644,4.792253,426.97973,361.8956,289.68176,205.31766,90.97889,10.57669,228.6068254,9.40969932,4.566210046,25.1240723,26.27480156,17.71159875,7.824427481,158.37,162.44,12.79927722,7.372013652,7.576791809,22.73,8.771331058,1.023890785,25.9136528,26.68051339,24.90436836,57.64342558,51.24124005,6.402185533,4.1,76.19953498,5.45567266,20.14879107,25.41847489,18.25790453,30.16119033,8.22,16.35,28.9,15.46,27.25,0.6,0.13,2.4,22.03,64.57,51.72,38.44317096,0.095510984,38.98684211,4.414414414,6.036036036,27.929374,29.7752809
10007,LONDON,KENSINGTON,FULHAM,6.862708363,professional,11886,1731.969271,3.58258,108.84193,190.22423,200.46469,149.82667,59.67789,13.77965,7.07812,5.112448,431.76268,392.40849,311.52856,212.88308,85.42019,20.24928,231.7075298,16.68714678,8.19112628,25.52239516,26.47907895,18.29710145,8.928571429,188.48,155.41,16.82935039,7.465698144,11.21872478,17.15,7.263922518,1.614205004,26.30608637,26.91124725,25.17794862,59.32135193,51.77038627,7.550965665,9.14,77.04242424,4.66266337,16.14270576,20.73472271,16.28399859,41.71670788,8.23,12.33,20.53,29.74,26.75,0.36,0.04,1.26,26.06,63.4,57.67,37.61804827,0.104931794,39.96969697,2.826510721,4.483430799,23.10469314,30.59566787
20001,LONDON,CHELSEA,CHELSEA SOUTH,63.90493982,professional,19050,298.0990211,3.61865,112.808972,194.472386,208.314866,150.352498,52.639016,9.505671,6.64995,4.7082182,397.23167,349.67996,298.19315,205.76599,74.11939,13.88515,202.1039606,5.525949885,3.067092652,25.90822403,26.49075441,13.89413989,8.441558442,176.32,174.71,8.929040391,8.593396653,14.04341927,17.46,4.839439168,0.836725464,27.87047939,27.99165913,27.65782434,59.32998325,49.33835846,9.991624791,4.81,77.97931345,5.821389195,23.50606395,27.89415656,20.33076075,21.74200662,11.35,16.11,32.02,16.18,22.44,0.47,0.07,0.58,24.02,58.37,55.44,37.69979152,0.034746352,40.23300971,3.15009265,6.238418777,24.70862471,30.12820513
20002,LONDON,CHELSEA,CHELSEA NORTH WEST,83.85055274,professional,17669,210.7201375,3.71578,125.05115,204.30172,198.81216,133.33307,78.10382,11.44562,6.75866,4.79286985,415.10556,351.63091,301.05268,179.38172,108.8844,17.62426,220.9999773,18.02476077,8.585858586,25.36384703,26.30833215,16.11111111,7.395993837,203.02,189.53,7.932460763,8.412294893,13.58909175,18.84,4.391033048,1.386642015,27.26322061,28.4424224,25.640992,55.9370023,47.44293045,8.494071846,3.2,72.75670675,6.451612903,22.02696196,31.60808859,22.48435243,16.82715455,14.12,16.61,38.2,12.7,16.34,0.76,0.1,0.52,22.19,59.58,61.87,33.83351197,0.035727045,38,3.374233129,6.825153374,25.3820598,29.96677741
20003,LONDON,CHELSEA,CHELSEA NORTH EAST,83.20746759,professional,19819,238.1877561,3.3377,100.00341,173.4376,183.45732,142.38097,67.54024,11.82469,6.27013,4.4875654,359.89155,319.93094,267.94067,199.32904,95.45615,14.85628,211.8043055,6.455539209,3.279515641,25.50106003,26.27399654,19.24839597,7.875,191.46,182.22,13.12004844,8.97357099,10.48965376,17.62,7.21163696,0.69657857,26.77703146,27.77238874,25.35514561,49.53179278,44.23803051,5.293762272,4.71,71.54269251,5.172762174,18.79167509,31.5417256,20.24651445,24.02505557,9.42,14.53,40.95,10.45,22.99,0.49,0.04,0.86,27.52,64.22,58.87,36.27260083,0.055632823,52.73972603,4.148148148,7.703703704,25.29722589,30.25099075
30001,LONDON,ST GEORGE HANOVER SQUARE,HANOVER SQUARE,45.39664072,professional,20216,445.3192941,2.05907,43.365803,100.590919,124.956681,92.801183,38.741131,8.086885,6.24907,4.44732245,390.55625,358.49021,272.75358,175.07936,69.68858,13.45276,173.8199416,1.735206056,2.027027027,29.94124383,28.93427425,22.91105121,17.07589286,161.75,145.43,21.27028097,6.945765937,10.20456708,33.94,11.39391056,0.404376784,28.35733743,28.59960693,27.80662082,30.98280895,26.89588064,4.086928317,3,72.21204488,6.225611919,20.00709471,23.05782192,22.61440227,26.95991486,9.18,16.17,42.73,10.45,19.14,0.84,0.07,0.23,23.34,76.93,67.69,49.11660777,0,46.70689655,4.567078972,7.516650809,34.44871092,30.11519473
