CEN_1871,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,ILLEG_RATIO,IMR,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,SR
10001,LONDON,KENSINGTON,ST. MARY PADDINGTON,73.38250337,professional,58728,800.2997622,3.012842175,95.55435,165.826665,163.435965,120.681168,49.764674,7.305613,5.306390669,163.1371814,26.40742577,27.34175194,25.12756735,46.8090446,41.51629985,5.292744749,66.11222278
10002,LONDON,KENSINGTON,ST. JOHN PADDINGTON,87.65330603,professional,38085,434.4958761,1.480028455,38.629001,73.21886,85.701932,64.217522,30.776699,3.461677,2.59391771,121.2203759,29.15384615,29.71917436,28.1928404,31.42027382,26.01645692,5.403816899,51.72052035
10003,LONDON,KENSINGTON,KENSINGTON TOWN,63.09638334,professional,91645,1452.460429,2.80759355,82.95531,145.07759,156.49864,114.03223,51.27257,11.68237,5.620237087,162.4184944,26.11568567,26.97140573,24.89433462,49.30791329,43.8234526,5.484460695,61.79158084
10004,LONDON,KENSINGTON,BROMPTON,43.98346309,professional,28654,651.4721212,2.061871835,56.871971,107.987814,126.142041,82.33303,36.167184,2.872327,2.820157189,143.3224756,27.59065309,28.28953127,26.50904554,39.38078986,34.06630912,5.314480741,57.02036442
10005,LONDON,KENSINGTON,ST. PETER HAMMERSMITH,4.008109572,professional,6662,1662.130209,3.53983445,120.15194,211.16124,189.02547,111.74312,58.92195,16.96317,3.820224719,154.6589817,26.46798252,27.45924933,25.19607843,61.09223301,52.74271845,8.349514563,70.67108534
10006,LONDON,KENSINGTON,ST. PAUL HAMMERSMITH,65.08846083,professional,36029,553.5389767,4.0738848,146.76833,211.41325,222.43921,144.84231,64.92416,24.3897,2.410901468,157.0781271,24.91423531,25.98115823,23.63426952,60.89561652,54.98040276,5.915213768,78.69103204
10007,LONDON,KENSINGTON,FULHAM,13.48176344,professional,23350,1731.969271,4.32267945,183.00693,237.93022,223.43786,141.28578,66.64583,12.22927,5.557573556,181.8902318,25.73333619,26.64764911,24.70360919,64.02306124,56.74611545,7.276945792,85.07482108
20001,LONDON,CHELSEA,CHELSEA SOUTH,88.62826824,semi-professional,26420,298.0990211,3.5690495,133.9963,197.90749,177.57813,133.32241,59.1811,11.82447,2.837171053,174.5249824,26.98110051,27.30314931,26.65448836,56.86590313,49.02767836,7.838224767,93.84828862
20002,LONDON,CHELSEA,CHELSEA NORTH-WEST,110.4640509,semi-professional,23277,210.7201375,3.193579,119.58911,186.48837,168.45808,104.06945,48.51238,11.59841,8.369694566,203.2539495,27.74199097,29.05491082,26.12365591,52.4018612,43.82331739,8.57854381,78.3635301
20003,LONDON,CHELSEA,CHELSEA NORTH-EAST,89.81150142,professional,21392,238.1877561,2.9227949,110.44775,153.6304,149.76667,100.74529,51.98407,17.9848,3.073770492,188.9441357,27.19564201,28.10317128,26.04610493,48.52420307,42.6349052,5.889297868,75.40504325
30001,LONDON,ST. GEORGE HANOVER SQUARE,HANOVER SQUARE,41.98785063,professional,18698,445.3192941,1.677577605,36.412778,95.096815,101.904993,68.866771,24.375933,8.858231,2.946593002,162.2978249,29.17275552,29.58501468,28.6361731,30.89328285,26.0342168,4.85906605,72.70525551
30002,LONDON,ST. GEORGE HANOVER SQUARE,MAYFAIR,99.03283644,professional,13007,131.3402753,0.76893919,19.690606,47.158531,43.524553,24.548265,15.30651,3.559373,16.92307692,107.81893,30.26193139,30.18637084,30.36985061,19.53203343,15.09749304,4.43454039,67.41279612
30003,LONDON,ST. GEORGE HANOVER SQUARE,BELGRAVE,100.9024454,professional,57972,574.5351343,2.14033524,61.643202,115.845328,125.011331,83.472482,33.12934,8.965365,4.015813566,160.0552347,27.78449283,28.48028773,26.86407256,38.46395211,33.59803046,4.865921653,71.47882952
30004,LONDON,ST. GEORGE HANOVER SQUARE,ST. JOHN WESTMINSTER,187.9539023,semi-professional,38478,204.7204103,3.8339419,149.4645,218.05214,196.77046,129.19813,56.48278,16.82037,2.455696203,189.4510226,26.48345305,27.10044039,25.88522482,49.91385386,45.25804683,4.655807033,105.5372233
30005,LONDON,ST. GEORGE HANOVER SQUARE,ST. MARGARET WESTMINSTER,44.83100861,professional,27781,619.6826898,2.9092045,93.58801,162.12713,164.78311,101.11311,47.14914,13.0804,11.10648918,222.193681,28.4559954,29.12685361,27.75457418,42.06685379,35.42740495,6.639448839,97.39095396
40001,LONDON,WESTMINSTER,ST. JAMES SQUARE,126.9927173,professional,10472,82.46142162,1.587245635,38.907102,81.460484,92.73414,56.633819,30.298061,17.415521,2.687140115,167.2816728,29.63254568,28.72607004,30.50950499,24.26295768,19.98335711,4.279600571,102.3088023
